file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\BookStore\src\java\BookStore\Login.java,BookStore.Login,"doGet/2[BookStore.HttpServletRequest,BookStore.HttpServletResponse]",false,23,3,0,0,0,9,12,30,0,7,2,12,0,0,0,4,1,1,13,2,10,0,2,0,0,0,29,4,0,false
C:\BookStore\src\java\BookStore\EditRecord.java,BookStore.EditRecord,"doGet/2[BookStore.HttpServletRequest,BookStore.HttpServletResponse]",false,31,4,0,0,0,5,14,43,0,7,2,14,0,0,0,2,2,0,20,0,13,3,2,0,0,0,26,4,0,false
C:\BookStore\src\java\BookStore\DisplayData.java,BookStore.DisplayData,"doGet/2[BookStore.HttpServletRequest,BookStore.HttpServletResponse]",false,25,4,0,0,0,3,13,33,0,8,2,13,0,0,1,0,1,0,13,0,11,0,2,0,0,0,28,4,0,false
C:\BookStore\src\java\BookStore\UpdateData.java,BookStore.UpdateData,getServletInfo/0,false,93,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,1,0,true
C:\BookStore\src\java\BookStore\UpdateData.java,BookStore.UpdateData,"doGet/2[BookStore.HttpServletRequest,BookStore.HttpServletResponse]",false,69,3,1,0,1,1,1,3,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,23,4,0,true
C:\BookStore\src\java\BookStore\UpdateData.java,BookStore.UpdateData,"processRequest/2[BookStore.HttpServletRequest,BookStore.HttpServletResponse]",false,23,4,2,2,0,2,9,28,0,11,2,9,0,0,0,0,1,0,18,0,10,2,1,0,0,0,33,4,0,false
C:\BookStore\src\java\BookStore\UpdateData.java,BookStore.UpdateData,"doPost/2[BookStore.HttpServletRequest,BookStore.HttpServletResponse]",false,83,3,1,0,1,1,1,3,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,23,4,0,true
C:\BookStore\src\java\BookStore\UserDisplayData.java,BookStore.UserDisplayData,"doGet/2[BookStore.HttpServletRequest,BookStore.HttpServletResponse]",false,25,4,0,0,0,3,13,33,0,8,2,13,0,0,1,0,1,0,13,0,11,0,2,0,0,0,28,4,0,false
C:\BookStore\src\java\BookStore\addbook.java,BookStore.addbook,"doGet/2[BookStore.HttpServletRequest,BookStore.HttpServletResponse]",false,22,4,0,0,0,7,8,24,0,8,2,8,0,0,0,4,1,0,16,1,10,2,2,0,0,0,29,4,0,false
C:\BookStore\src\java\BookStore\Registration.java,BookStore.Registration,"doGet/2[BookStore.HttpServletRequest,BookStore.HttpServletResponse]",false,25,4,0,0,0,3,9,40,0,14,2,9,0,0,0,0,1,0,17,11,16,0,2,0,0,0,34,4,0,false
