file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\BookStore\src\java\BookStore\Login.java,BookStore.Login,class,5,5,0,5,9,2,0,12,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,32,0,0,4,1,1,15,2,10,0,7,2,0,0,0,35,1,0
C:\BookStore\src\java\BookStore\EditRecord.java,BookStore.EditRecord,class,5,5,0,5,5,2,0,14,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,4,0,0,0,0,4,0,0,4,49,0,0,2,2,0,20,0,16,3,11,2,0,0,0,34,1,0
C:\BookStore\src\java\BookStore\DisplayData.java,BookStore.DisplayData,class,6,6,0,6,3,2,0,13,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,35,0,1,0,1,0,15,0,11,0,8,2,0,0,0,32,1,0
C:\BookStore\src\java\BookStore\UpdateData.java,BookStore.UpdateData,class,6,7,1,6,5,2,0,10,6,0.0,0.0,0.0,4,0,1,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,2,39,1,0,0,1,0,19,0,10,2,11,1,0,0,0,59,1,0
C:\BookStore\src\java\BookStore\UserDisplayData.java,BookStore.UserDisplayData,class,6,6,0,6,3,2,0,13,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,35,0,1,0,1,0,15,0,11,0,8,2,0,0,0,33,1,0
C:\BookStore\src\java\BookStore\addbook.java,BookStore.addbook,class,5,5,0,5,7,2,0,8,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,26,0,0,4,1,0,16,1,10,2,8,2,0,0,0,34,1,0
C:\BookStore\src\java\BookStore\Registration.java,BookStore.Registration,class,5,5,0,5,3,2,0,9,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,42,0,0,0,1,0,17,11,16,0,14,2,0,0,0,37,1,0
