file,class,method,variable,usage
C:\BankingSystem\src\GUI\WithdrawAcc.java,GUI.WithdrawAcc,WithdrawAcc/0,textField_1,4
C:\BankingSystem\src\GUI\WithdrawAcc.java,GUI.WithdrawAcc,WithdrawAcc/0,contentPane,12
C:\BankingSystem\src\GUI\WithdrawAcc.java,GUI.WithdrawAcc,WithdrawAcc/0,textField,4
C:\BankingSystem\src\Bank\BankAccount.java,Bank.BankAccount,getbalance/0,balance,1
C:\BankingSystem\src\Bank\BankAccount.java,Bank.BankAccount,deposit/1[double],balance,1
C:\BankingSystem\src\Bank\BankAccount.java,Bank.BankAccount,withdraw/1[double],min_balance,1
C:\BankingSystem\src\Bank\BankAccount.java,Bank.BankAccount,withdraw/1[double],balance,3
C:\BankingSystem\src\Bank\BankAccount.java,Bank.BankAccount,toString/0,acc_num,1
C:\BankingSystem\src\Bank\BankAccount.java,Bank.BankAccount,toString/0,balance,1
C:\BankingSystem\src\Bank\BankAccount.java,Bank.BankAccount,toString/0,name,1
C:\BankingSystem\src\Bank\BankAccount.java,Bank.BankAccount,"BankAccount/3[java.lang.String,double,double]",min_balance,3
C:\BankingSystem\src\Bank\BankAccount.java,Bank.BankAccount,"BankAccount/3[java.lang.String,double,double]",balance,3
C:\BankingSystem\src\Bank\BankAccount.java,Bank.BankAccount,"BankAccount/3[java.lang.String,double,double]",acc_num,1
C:\BankingSystem\src\Bank\BankAccount.java,Bank.BankAccount,"BankAccount/3[java.lang.String,double,double]",name,3
C:\BankingSystem\src\GUI\AddStudentAccount.java,GUI.AddStudentAccount,AddStudentAccount/0,textField_1,4
C:\BankingSystem\src\GUI\AddStudentAccount.java,GUI.AddStudentAccount,AddStudentAccount/0,textField_2,4
C:\BankingSystem\src\GUI\AddStudentAccount.java,GUI.AddStudentAccount,AddStudentAccount/0,contentPane,13
C:\BankingSystem\src\GUI\AddStudentAccount.java,GUI.AddStudentAccount,AddStudentAccount/0,textField,4
C:\BankingSystem\src\Bank\CurrentAccount.java,Bank.CurrentAccount,"CurrentAccount/3[java.lang.String,double,java.lang.String]",tradeLicenseNumber,3
C:\BankingSystem\src\Bank\Bank.java,Bank.Bank,getAccounts/0,accounts,1
C:\BankingSystem\src\Bank\Bank.java,Bank.Bank,setAccounts/1[Bank.BankAccount[]],accounts,3
C:\BankingSystem\src\GUI\AddSavingsAccount.java,GUI.AddSavingsAccount,AddSavingsAccount/0,textField_1,4
C:\BankingSystem\src\GUI\AddSavingsAccount.java,GUI.AddSavingsAccount,AddSavingsAccount/0,textField_2,4
C:\BankingSystem\src\GUI\AddSavingsAccount.java,GUI.AddSavingsAccount,AddSavingsAccount/0,contentPane,13
C:\BankingSystem\src\GUI\AddSavingsAccount.java,GUI.AddSavingsAccount,AddSavingsAccount/0,textField,4
C:\BankingSystem\src\GUI\DepositAcc.java,GUI.DepositAcc,DepositAcc/0,textField_1,4
C:\BankingSystem\src\GUI\DepositAcc.java,GUI.DepositAcc,DepositAcc/0,contentPane,12
C:\BankingSystem\src\GUI\DepositAcc.java,GUI.DepositAcc,DepositAcc/0,textField,4
C:\BankingSystem\src\GUI\Menu.java,GUI.Menu,Menu/0,contentPane,13
C:\BankingSystem\src\GUI\DisplayList.java,GUI.DisplayList,DisplayList/0,arr,2
C:\BankingSystem\src\GUI\DisplayList.java,GUI.DisplayList,DisplayList/0,contentPane,7
C:\BankingSystem\src\GUI\AddCurrentAccount.java,GUI.AddCurrentAccount,AddCurrentAccount/0,textField_1,4
C:\BankingSystem\src\GUI\AddCurrentAccount.java,GUI.AddCurrentAccount,AddCurrentAccount/0,textField_2,4
C:\BankingSystem\src\GUI\AddCurrentAccount.java,GUI.AddCurrentAccount,AddCurrentAccount/0,contentPane,14
C:\BankingSystem\src\GUI\AddCurrentAccount.java,GUI.AddCurrentAccount,AddCurrentAccount/0,textField,4
C:\BankingSystem\src\GUI\Login.java,GUI.Login,initialize/0,textField_1,4
C:\BankingSystem\src\GUI\Login.java,GUI.Login,initialize/0,frame,12
C:\BankingSystem\src\GUI\Login.java,GUI.Login,initialize/0,textField,5
C:\BankingSystem\src\Bank\SavingsAccount.java,Bank.SavingsAccount,getNetBalance/0,rate,1
C:\BankingSystem\src\Bank\SavingsAccount.java,Bank.SavingsAccount,"SavingsAccount/3[java.lang.String,double,double]",maxWithLimit,3
C:\BankingSystem\src\Bank\SavingsAccount.java,Bank.SavingsAccount,withdraw/1[double],maxWithLimit,1
C:\BankingSystem\src\GUI\AddAccount.java,GUI.AddAccount,AddAccount/0,contentPane,9
C:\BankingSystem\src\GUI\GUIForm.java,GUI.GUIForm,UpdateDisplay/0,displaylist,7
C:\BankingSystem\src\Bank\StudentAccount.java,Bank.StudentAccount,"StudentAccount/3[java.lang.String,double,java.lang.String]",institutionName,3
