file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\StudentManagement\src\examples\Antenna.java,examples.Antenna$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
C:\StudentManagement\src\examples\ContactEditor.java,examples.ContactEditor$Anonymous1,anonymous,0,0,0,0,2,1,0,0,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,9,2,0,0,0,0,2,0,1,0,1,0,0,0,0,7,-1,0
C:\StudentManagement\src\examples\Find.java,examples.Find$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
C:\StudentManagement\src\examples\ContactEditor.java,examples.ContactEditor$Anonymous2,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
C:\StudentManagement\src\examples\ContactEditor.java,examples.ContactEditor,class,1,3,2,1,9,6,0,44,3,0.6666667,0.0,0.0,3,1,2,1,0,0,2,0,0,0,27,0,0,27,0,0,0,0,12,149,0,1,0,1,0,25,39,32,0,32,3,2,0,0,94,1,0
C:\StudentManagement\src\Student.java,Student$Anonymous2,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
C:\StudentManagement\src\examples\Antenna.java,examples.Antenna,class,1,3,2,1,9,6,0,41,3,0.6666666,0.0,0.0,3,1,2,1,0,0,2,0,0,0,28,0,0,28,0,0,0,0,10,136,0,1,0,1,0,30,21,33,0,33,3,1,0,0,96,1,0
C:\StudentManagement\src\Student.java,Student$Anonymous3,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
C:\StudentManagement\src\Student.java,Student$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
C:\StudentManagement\src\Student.java,Student,class,1,10,9,1,28,6,0,67,35,0.86060613,0.0,0.0,11,1,2,9,0,0,2,0,0,0,15,0,0,13,0,2,0,0,29,263,0,3,1,5,0,57,61,43,0,37,3,9,0,0,105,1,0
C:\StudentManagement\src\examples\Find.java,examples.Find,class,1,3,2,1,9,6,0,34,3,0.6666666,0.0,0.0,3,1,2,1,0,0,2,0,0,0,8,0,0,8,0,0,0,0,11,72,0,1,0,1,0,9,33,11,0,11,3,1,0,0,67,1,0
C:\StudentManagement\src\Student.java,Student$Anonymous8,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
C:\StudentManagement\src\Student.java,Student$Anonymous9,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
C:\StudentManagement\src\Student.java,Student$Anonymous6,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
C:\StudentManagement\src\Student.java,Student$Anonymous7,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,6,1,0,0,0,0,0,0,1,0,1,0,0,0,0,6,-1,0
C:\StudentManagement\src\Student.java,Student$Anonymous4,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
C:\StudentManagement\src\Student.java,Student$Anonymous5,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
