file,class,method,variable,usage
C:\StudentManagement\src\examples\ContactEditor.java,examples.ContactEditor$Anonymous1,getElementAt/1[int],i,1
C:\StudentManagement\src\examples\ContactEditor.java,examples.ContactEditor,initComponents/0,layout,11
C:\StudentManagement\src\examples\ContactEditor.java,examples.ContactEditor,initComponents/0,jPanel2Layout,18
C:\StudentManagement\src\examples\ContactEditor.java,examples.ContactEditor,initComponents/0,jPanel1Layout,16
C:\StudentManagement\src\examples\ContactEditor.java,examples.ContactEditor,main/1[java.lang.String[]],args,0
C:\StudentManagement\src\examples\ContactEditor.java,examples.ContactEditor,main/1[java.lang.String[]],ex,7
C:\StudentManagement\src\examples\ContactEditor.java,examples.ContactEditor,main/1[java.lang.String[]],installedLookAndFeels,3
C:\StudentManagement\src\examples\ContactEditor.java,examples.ContactEditor,main/1[java.lang.String[]],idx,4
C:\StudentManagement\src\Student.java,Student$Anonymous2,actionPerformed/1[java.awt.event.ActionEvent],evt,1
C:\StudentManagement\src\examples\Antenna.java,examples.Antenna,initComponents/0,layout,11
C:\StudentManagement\src\examples\Antenna.java,examples.Antenna,initComponents/0,jPanel2Layout,19
C:\StudentManagement\src\examples\Antenna.java,examples.Antenna,initComponents/0,jPanel1Layout,11
C:\StudentManagement\src\examples\Antenna.java,examples.Antenna,main/1[java.lang.String[]],args,0
C:\StudentManagement\src\examples\Antenna.java,examples.Antenna,main/1[java.lang.String[]],ex,7
C:\StudentManagement\src\examples\Antenna.java,examples.Antenna,main/1[java.lang.String[]],installedLookAndFeels,3
C:\StudentManagement\src\examples\Antenna.java,examples.Antenna,main/1[java.lang.String[]],idx,4
C:\StudentManagement\src\Student.java,Student$Anonymous3,actionPerformed/1[java.awt.event.ActionEvent],evt,1
C:\StudentManagement\src\Student.java,Student$Anonymous1,actionPerformed/1[java.awt.event.ActionEvent],evt,1
C:\StudentManagement\src\Student.java,Student,txtcourseActionPerformed/1[java.awt.event.ActionEvent],evt,0
C:\StudentManagement\src\Student.java,Student,butdelActionPerformed/1[java.awt.event.ActionEvent],res,1
C:\StudentManagement\src\Student.java,Student,butdelActionPerformed/1[java.awt.event.ActionEvent],evt,0
C:\StudentManagement\src\Student.java,Student,butdelActionPerformed/1[java.awt.event.ActionEvent],select,1
C:\StudentManagement\src\Student.java,Student,butdelActionPerformed/1[java.awt.event.ActionEvent],ex,3
C:\StudentManagement\src\Student.java,Student,butdelActionPerformed/1[java.awt.event.ActionEvent],d,1
C:\StudentManagement\src\Student.java,Student,butdelActionPerformed/1[java.awt.event.ActionEvent],id,1
C:\StudentManagement\src\Student.java,Student,butaddActionPerformed/1[java.awt.event.ActionEvent],mob,1
C:\StudentManagement\src\Student.java,Student,butaddActionPerformed/1[java.awt.event.ActionEvent],evt,0
C:\StudentManagement\src\Student.java,Student,butaddActionPerformed/1[java.awt.event.ActionEvent],ex,3
C:\StudentManagement\src\Student.java,Student,butaddActionPerformed/1[java.awt.event.ActionEvent],name,1
C:\StudentManagement\src\Student.java,Student,butaddActionPerformed/1[java.awt.event.ActionEvent],course,1
C:\StudentManagement\src\Student.java,Student,txtnameActionPerformed/1[java.awt.event.ActionEvent],evt,0
C:\StudentManagement\src\Student.java,Student,tableMouseClicked/1[java.awt.event.MouseEvent],evt,0
C:\StudentManagement\src\Student.java,Student,tableMouseClicked/1[java.awt.event.MouseEvent],select,3
C:\StudentManagement\src\Student.java,Student,tableMouseClicked/1[java.awt.event.MouseEvent],d,3
C:\StudentManagement\src\Student.java,Student,initComponents/0,layout,21
C:\StudentManagement\src\Student.java,Student,txtnoActionPerformed/1[java.awt.event.ActionEvent],evt,0
C:\StudentManagement\src\Student.java,Student,buteditActionPerformed/1[java.awt.event.ActionEvent],mob,1
C:\StudentManagement\src\Student.java,Student,buteditActionPerformed/1[java.awt.event.ActionEvent],evt,0
C:\StudentManagement\src\Student.java,Student,buteditActionPerformed/1[java.awt.event.ActionEvent],select,1
C:\StudentManagement\src\Student.java,Student,buteditActionPerformed/1[java.awt.event.ActionEvent],ex,3
C:\StudentManagement\src\Student.java,Student,buteditActionPerformed/1[java.awt.event.ActionEvent],d,1
C:\StudentManagement\src\Student.java,Student,buteditActionPerformed/1[java.awt.event.ActionEvent],name,1
C:\StudentManagement\src\Student.java,Student,buteditActionPerformed/1[java.awt.event.ActionEvent],course,1
C:\StudentManagement\src\Student.java,Student,buteditActionPerformed/1[java.awt.event.ActionEvent],id,1
C:\StudentManagement\src\Student.java,Student,table_update/0,a,2
C:\StudentManagement\src\Student.java,Student,table_update/0,r,6
C:\StudentManagement\src\Student.java,Student,table_update/0,c,2
C:\StudentManagement\src\Student.java,Student,table_update/0,ex,3
C:\StudentManagement\src\Student.java,Student,table_update/0,d,2
C:\StudentManagement\src\Student.java,Student,table_update/0,v,5
C:\StudentManagement\src\Student.java,Student,table_update/0,m,1
C:\StudentManagement\src\Student.java,Student,main/1[java.lang.String[]],args,0
C:\StudentManagement\src\Student.java,Student,main/1[java.lang.String[]],ex,7
C:\StudentManagement\src\Student.java,Student,main/1[java.lang.String[]],info,2
C:\StudentManagement\src\examples\Find.java,examples.Find,initComponents/0,layout,17
C:\StudentManagement\src\examples\Find.java,examples.Find,main/1[java.lang.String[]],args,0
C:\StudentManagement\src\examples\Find.java,examples.Find,main/1[java.lang.String[]],ex,7
C:\StudentManagement\src\examples\Find.java,examples.Find,main/1[java.lang.String[]],installedLookAndFeels,3
C:\StudentManagement\src\examples\Find.java,examples.Find,main/1[java.lang.String[]],idx,4
C:\StudentManagement\src\Student.java,Student$Anonymous8,mouseClicked/1[java.awt.event.MouseEvent],evt,1
C:\StudentManagement\src\Student.java,Student$Anonymous6,actionPerformed/1[java.awt.event.ActionEvent],evt,1
C:\StudentManagement\src\Student.java,Student$Anonymous7,getColumnClass/1[int],columnIndex,1
C:\StudentManagement\src\Student.java,Student$Anonymous4,actionPerformed/1[java.awt.event.ActionEvent],evt,1
C:\StudentManagement\src\Student.java,Student$Anonymous5,actionPerformed/1[java.awt.event.ActionEvent],evt,1
